lastname,firstname,team,points,games,liga_id,league_name,season,bezirk
1.,Adler,Rudolf,BBC Bayreuth,131,263,Bezirksliga,2003,Oberfranken
2.,Fröhlich,Thomas,1. FC Baunach,96,263,Bezirksliga,2003,Oberfranken
3.,Schmidt,Joachim,BBC Bayreuth,90,263,Bezirksliga,2003,Oberfranken
4.,Pfister,Gerhard,1. FC Baunach,90,263,Bezirksliga,2003,Oberfranken
5.,Rüb,Clemens,1. FC Baunach,87,263,Bezirksliga,2003,Oberfranken
6.,Smith,Darryl Stephen,1. FC Baunach,69,263,Bezirksliga,2003,Oberfranken
7.,Schabacker,Rainer,TSV Breitengüßbach,68,263,Bezirksliga,2003,Oberfranken
8.,Goppert,Wolfgang,TSV Breitengüßbach,68,263,Bezirksliga,2003,Oberfranken
9.,Fuchs,Manfred,1. FC Baunach,67,263,Bezirksliga,2003,Oberfranken
10.,Picht,Herwig,TSV Breitengüßbach,56,263,Bezirksliga,2003,Oberfranken
11.,Kuhn,Albert,TS Lichtenfels,54,263,Bezirksliga,2003,Oberfranken
12.,Renner,Gerhard,BBC Bayreuth,53,263,Bezirksliga,2003,Oberfranken
13.,Schober,Wolfgang,TS Lichtenfels,51,263,Bezirksliga,2003,Oberfranken
14.,Palitza,Peter,TS Lichtenfels,50,263,Bezirksliga,2003,Oberfranken
15.,Pautz,Andreas,TSV Breitengüßbach,49,263,Bezirksliga,2003,Oberfranken
16.,Göhring,Eduard,BBC Bayreuth,48,263,Bezirksliga,2003,Oberfranken
17.,Kurrek,Reinhard,BBC Bayreuth,46,263,Bezirksliga,2003,Oberfranken
18.,Uch,Hans-Jürgen,TSV Breitengüßbach,46,263,Bezirksliga,2003,Oberfranken
19.,Becher,Jürgen,1. FC Baunach,42,263,Bezirksliga,2003,Oberfranken
20.,Kern,Dr. Günter,1. FC Baunach,39,263,Bezirksliga,2003,Oberfranken
21.,Erdle,Stefan,TS Lichtenfels,39,263,Bezirksliga,2003,Oberfranken
22.,Schabacker,Ulf,TSV Breitengüßbach,38,263,Bezirksliga,2003,Oberfranken
23.,Fleischmann,Martin,TS Lichtenfels,38,263,Bezirksliga,2003,Oberfranken
24.,Ulshöfer,Jens,TSV Breitengüßbach,37,263,Bezirksliga,2003,Oberfranken
25.,Dorsch,Hubert,TSV Breitengüßbach,37,263,Bezirksliga,2003,Oberfranken
26.,Hübner,Michael,1. FC Baunach,37,263,Bezirksliga,2003,Oberfranken
27.,Middeldorf,Stefan,TS Lichtenfels,34,263,Bezirksliga,2003,Oberfranken
28.,Tadda,Walter,TSV Breitengüßbach,34,263,Bezirksliga,2003,Oberfranken
29.,Brandl,Bernhard,TS Lichtenfels,31,263,Bezirksliga,2003,Oberfranken
